mazda,hatchback,fwd,ohc,four
volvo,wagon,rwd,ohc,four
toyota,sedan,fwd,ohc,four
bmw,sedan,rwd,ohc,six
honda,sedan,fwd,ohc,four
nissan,sedan,fwd,ohc,four
toyota,sedan,rwd,dohc,six
mazda,hatchback,fwd,ohc,four
toyota,hatchback,rwd,dohc,six
volkswagen,sedan,fwd,ohc,four
plymouth,sedan,fwd,ohc,four
peugot,sedan,rwd,l,four
volvo,sedan,rwd,ohc,four
honda,hatchback,fwd,ohc,four
toyota,hatchback,rwd,ohc,four
toyota,sedan,fwd,ohc,four
dodge,hatchback,fwd,ohc,four
honda,sedan,fwd,ohc,four
dodge,hatchback,fwd,ohc,four
toyota,hatchback,fwd,ohc,four
peugot,sedan,rwd,l,four
audi,sedan,fwd,ohc,five
volkswagen,sedan,fwd,ohc,four
peugot,sedan,rwd,l,four
honda,hatchback,fwd,ohc,four
chevrolet,sedan,fwd,ohc,four
toyota,hatchback,fwd,ohc,four
nissan,hatchback,rwd,ohcv,six
nissan,sedan,fwd,ohc,four
nissan,hatchback,fwd,ohc,four
volvo,sedan,rwd,ohc,four
toyota,convertible,rwd,ohc,four
honda,sedan,fwd,ohc,four
nissan,wagon,fwd,ohcv,six
volvo,sedan,rwd,ohcv,six
toyota,sedan,fwd,ohc,four
mazda,hatchback,fwd,ohc,four
mitsubishi,hatchback,fwd,ohc,four
honda,wagon,fwd,ohc,four
nissan,sedan,fwd,ohcv,six
jaguar,sedan,rwd,dohc,six
plymouth,sedan,fwd,ohc,four
toyota,sedan,rwd,dohc,four
peugot,sedan,rwd,l,four
mazda,sedan,rwd,ohc,four
toyota,wagon,4wd,ohc,four
toyota,hatchback,fwd,ohc,four
mazda,hatchback,fwd,ohc,four
mazda,hatchback,fwd,ohc,four
volkswagen,sedan,fwd,ohc,four
plymouth,wagon,fwd,ohc,four
saab,sedan,fwd,ohc,four
audi,sedan,fwd,ohc,five
plymouth,hatchback,fwd,ohc,four
saab,hatchback,fwd,ohc,four
toyota,hatchback,fwd,ohc,four
toyota,hatchback,rwd,ohc,four
mercedes-benz,sedan,rwd,ohc,five
mitsubishi,sedan,fwd,ohc,four
subaru,wagon,fwd,ohcf,four
volkswagen,sedan,fwd,ohc,four
toyota,sedan,fwd,ohc,four
toyota,hatchback,fwd,ohc,four
dodge,hatchback,fwd,ohc,four
nissan,wagon,fwd,ohc,four
nissan,sedan,fwd,ohc,four
volvo,wagon,rwd,ohc,four
dodge,wagon,fwd,ohc,four
mitsubishi,hatchback,fwd,ohc,four
audi,sedan,fwd,ohc,four
honda,sedan,fwd,ohc,four
volkswagen,sedan,fwd,ohc,four
toyota,sedan,fwd,ohc,four
toyota,wagon,fwd,ohc,four
mazda,sedan,fwd,ohc,four
mitsubishi,sedan,fwd,ohc,four
mazda,sedan,fwd,ohc,four
subaru,wagon,4wd,ohcf,four
dodge,hatchback,fwd,ohc,four
toyota,sedan,fwd,ohc,four
plymouth,hatchback,fwd,ohc,four
saab,hatchback,fwd,ohc,four
porsche,hatchback,rwd,ohc,four
toyota,hatchback,fwd,ohc,four
peugot,sedan,rwd,l,four
bmw,sedan,rwd,ohc,six
subaru,wagon,4wd,ohcf,four
toyota,hardtop,rwd,ohc,four
nissan,hatchback,rwd,ohcv,six
mazda,sedan,fwd,ohc,four
dodge,sedan,fwd,ohc,four
mitsubishi,hatchback,fwd,ohc,four
volvo,wagon,rwd,ohc,four
subaru,sedan,4wd,ohcf,four
mitsubishi,sedan,fwd,ohc,four
volkswagen,sedan,fwd,ohc,four
peugot,sedan,rwd,l,four
mazda,hatchback,fwd,ohc,four
volkswagen,sedan,fwd,ohc,four
chevrolet,hatchback,fwd,ohc,four
mercedes-benz,hardtop,rwd,ohc,five
saab,hatchback,fwd,dohc,four
chevrolet,hatchback,fwd,l,three
toyota,hatchback,fwd,ohc,four
subaru,sedan,fwd,ohcf,four
peugot,sedan,rwd,l,four
nissan,sedan,fwd,ohc,four
bmw,sedan,rwd,ohc,four
subaru,hatchback,fwd,ohcf,four
nissan,hatchback,rwd,ohcv,six
mitsubishi,hatchback,fwd,ohc,four
nissan,hardtop,fwd,ohc,four
mazda,sedan,fwd,ohc,four
volvo,sedan,rwd,ohc,four
subaru,sedan,fwd,ohcf,four
toyota,wagon,4wd,ohc,four
honda,hatchback,fwd,ohc,four
toyota,hardtop,rwd,ohc,four
volkswagen,hatchback,fwd,ohc,four
dodge,sedan,fwd,ohc,four
nissan,wagon,fwd,ohc,four
subaru,wagon,fwd,ohcf,four
subaru,sedan,fwd,ohcf,four
mercedes-benz,sedan,rwd,ohc,five
toyota,hatchback,rwd,dohc,four
nissan,hatchback,fwd,ohc,four
saab,sedan,fwd,dohc,four
toyota,hatchback,rwd,dohc,six
mitsubishi,hatchback,fwd,ohc,four
volvo,sedan,rwd,ohc,four
honda,hatchback,fwd,ohc,four
nissan,sedan,fwd,ohc,four
audi,sedan,4wd,ohc,five
nissan,sedan,fwd,ohc,four
toyota,sedan,fwd,ohc,four
mitsubishi,sedan,fwd,ohc,four
nissan,sedan,fwd,ohcv,six
nissan,sedan,fwd,ohc,four
subaru,hatchback,fwd,ohcf,four
honda,hatchback,fwd,ohc,four
honda,hatchback,fwd,ohc,four
honda,hatchback,fwd,ohc,four
saab,sedan,fwd,ohc,four
mercedes-benz,convertible,rwd,ohcv,eight
mitsubishi,hatchback,fwd,ohc,four
mercedes-benz,wagon,rwd,ohc,five
volvo,sedan,rwd,ohc,four
toyota,hardtop,rwd,ohc,four
plymouth,hatchback,fwd,ohc,four
dodge,hatchback,fwd,ohc,four
subaru,hatchback,4wd,ohcf,four
bmw,sedan,rwd,ohc,four
toyota,hatchback,rwd,ohc,four
subaru,sedan,4wd,ohcf,four
toyota,hatchback,fwd,ohc,four
honda,sedan,fwd,ohc,four
volvo,sedan,rwd,ohc,six
toyota,sedan,rwd,ohc,four
volvo,sedan,rwd,ohc,four
